item_name,product_code,retail_selling_price,units,buying_price,wholesale_selling_price,minimum_order_quantity,discount
Free Wheel Hub4353060130,43530-60130,"18,500",5,15725,17297.5,1,0
Free Wheel Hub4353060042,43530-60042,"18,500",5,15725,17297.5,1,0
Radiator Fan Blade 1636175020,16361-75021,"5,958",5,5064.3,5570.73,1,0
Radiator Fan Blade1636131060,16361-31060,"7,116",5,6048.6,6653.46,1,0
Radiator Fan Blade1636150040,16361-50040,"8,603",5,7312.55,8043.805,1,0
Radiator Fan Blade1636150110,16361-50110,"7,444",5,6327.4,6960.14,1,0
Radiator Fan Blade 1636154111,16361-54111,"6,289",5,5345.65,5880.215,1,0
Radiator Fan Blade 1636117040,16361-17040,"7,776",5,6609.6,7270.56,1,0
Advics Brake Pad 0446597402,04465-97402/97216/97402/97404,"5,973",5,5077.05,5584.755,1,0
Advics Brake Pad DMAX,8-980791040,"7,511",5,6384.35,7022.785,1,0
Advics Brake Pad 26296AE160,26296AE160,"10,969",5,9323.65,10256.015,1,0
Advics Brake Pads AY0410NS110,AY040-NS110,"9,628",5,8183.8,9002.18,1,0
Advics Brake Pad 26696AG031,26696AG031,"13,111",5,11144.35,12258.785,1,0
Water Pump X2111AA033,X2111-AA033,"7,541",5,6409.85,7050.835,1,0
Water Pump 1610029415,16100-29415,"9,825",5,8351.25,9186.375,1,0
